,username,adschool,result,degree,major,TF,GRE,grad_major,grad_school,grad_gpa,grad_rank,background,year,ap_time,country
0,ml0353662,UTD,AD无奖,MS,CS,,,, BUPT,  ,,,15Fall,2014-11-06,美国
1,tommy1122337,Stevens Institute of Technology (SIT),AD无奖,MS,CS,84,313,CS , 台灣中正大學,  3.21/5,,"有paper, 推薦人為IET fellow",15Fall,2014-11-12,美国
2,crir,RIT,AD小奖,MS,CS,,,生物 , 厦门大学,  , 本科Top30 211,无,15Fall,2014-11-06,美国
3,zxl9171,USC,AD无奖,MS,CS,,,, ,  , 本科：南大，浙大，复旦，上交,,15Fall,2014-09-11,美国
4,Aaron_Liu,CS@SIT,AD无奖,MS,CS,,,, ,  , 本科Top30 211,,15Fall,2014-11-03,美国
5,tommy1122337,University of Texas at Dallas (UTD),AD无奖,MS,CS,,,, ,  ,,,15Fall,2014-11-10,美国
6,壹心向佛,UTD,AD无奖,MS,CS,104,"324,3.5",测控 , ,  3.55（5）=85.5（100）, 本科非211,,15Fall,2014-11-09,美国
7,Josh,UTD,AD无奖,MS,CS,,,EE , ,  , 本科Top15 211,,15Fall,2014-11-16,美国
8,sunnyeee,IIT,AD无奖,MS,CS,91（18）,320（150+170）,网络工程 , 北京信息科技大学,  2.89, 本科非211,"1年多工作经验,无牛推，无paper",15Fall,2014-11-13,美国
9,tommy1122337,New Jersey Institute of Technology (NJIT),AD无奖,MS,CS,,,, ,  ,,,15Fall,2014-11-10,美国
10,hongmak,Derexl,Offer,MS,CS,,,automation , ,  3.3,,,15Fall,2014-12-02,美国
11,narcotic,UTD,AD无奖,MS,CS,,,ME , JLU,  86/100, 本科Top15 211,,15Fall,2014-12-01,美国
12,monolock,NEU,AD无奖,MS,CS,,,, ,  ,,,15Fall,2014-11-22,美国
13,dnalwqer,NEU,AD无奖,MS,CS,,,通信 , 北邮,  , 本科：北大，清华，科大，中科院，特色学校牛专业,见定位贴,15Fall,2014-12-10,美国
14,Tintinding007,NEU,AD无奖,MS,CS,,,, ,  , 本科Top15 211,,15Fall,2014-10-30,美国
15,ppks710,NEU,AD无奖,MS,CS,106(23),153+168+3.5,测控 , ,  85, 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,2014-10-28,美国
16,dolphin_wby,CS@NEU,AD无奖,MS,CS,105(S23),159+168+3,电子信息工程 , SDU,  89.9, 本科Top30 211,"两段CS水实习,两个安卓app(一个in progress)",15Fall,2014-12-07,美国
17,seuzbw,NEU,AD无奖,MS,CS,,,计算机科学与技术 , 东南大学,  , 本科Top30 211,,15Fall,2014-11-15,美国
18,mikeyangh1992,NEU,AD无奖,MS,CS,102（S20）,152+169+3,Biology , WHU,  90.2/100 排名不清楚, 本科Top15 211,修了一堆CS的课（均分89左右）和coursera的课   无牛推，。中科院实习，国软实验室做数据仓库的项目,15Fall,2014-11-27,美国
19,chen482,NEU,AD无奖,MS,CS,"106 (R28, L27, S26, W25)",V157 Q169 AW3.0,软件工程 , 南京大学,  84.64  rank,20/200(除开保研),,15Fall,2014-12-05,美国
20,A30041839,Northeastern University,AD无奖,MS,CS,104(23),329(4),MATH , BUAA,  , 本科Top15 211,MSR一封,15Fall,2014-12-15,美国
21,rackingroll,UMN,Offer,PhD,CS,91 (S22),168+151,cs , 吉林大学,  84, 本科Top30 211,见背景帖,15Fall,2014-12-18,美国
22,lingyy,UPENN,AD无奖,MS,CS,102(23),V161+Q166+3.0,, ,  , 本科Top15 211,,15Fall,2014-11-15,美国
23,wuyang1992,CUHK,Offer,PhD,CS,30+27+22+26,153+170+3.0,信息工程 , 香港中文大学,  3.43/4， Major 3.68/4, 海本,,15Fall,2014-12-01,港澳台
24,finger,SIT,AD无奖,MS,CS,,,网络工程 , ,  , 本科非211,,15Fall,2014-11-23,美国
25,RBPome,NYU_POLY,AD小奖,MS,CS,,,, ,  , 本科Top15 211,,15Fall,2014-02-02,美国
26,zhujf553,USC,AD无奖,MS,CS,,,, ,  , 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,2014-12-06,美国
27,heroic,CS@USC,AD无奖,MS,CS,108,329+3.0,cs , whu,  3.8/4.0 武大算法 排名4/217, 本科Top15 211,,15Fall,2014-11-09,美国
28,Aaron_Liu,USC,AD无奖,MS,CS,108,620+800+3.0,CIVIL ENGINEERING , TJU,  3.67, 本科Top30 211,,15Fall,2014-11-10,美国
29,sjh2011,USC,AD无奖,MS,CS,30+29+22+27=108,156+168+3.0,Electronic and Information Engineering , USTC,  3.8+/4.3 89+/100 Ranking,10+/100+,Uinversity of Western Australia 暑期科研交流,15Fall,2014-11-14,美国
30,vincentwizard,NJIT,Offer,PhD,CS,102(23),151+165+3,, ,  87, 本科Top15 211,,15Fall,2014-12-15,美国
31,hammer9132,NJIT,Offer,PhD,CS,107,314,软件工程 , 大连理工大学,  , 本科Top30 211,水文一堆,15Fall,2014-11-29,美国
32,AbracadaBudda,UDelaware,AD无奖,MS,CS,100/s23,154+170+3,软件工程 , 东南大学,  2.93/4, 本科Top30 211,,15Fall,2014-12-01,美国
33,m4reiiy,University of Montreal,Offer,PhD,CS,,,, ,  ,,,15Fall,2014-11-27,加拿大
34,helloshch,CS@UCLA,AD无奖,MS,CS,106,157+168+3,Stat , USTC,  90, 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,2014-11-30,美国
35,leyichm,,,,,,,, ,  ,,,,,
36,creambagel,UPenn,AD无奖,MS,CS,,,, ,  , 海本,,15Fall,2014-12-09,美国
37,poiiopppooii,USC,Offer,PhD,CS,,,, ,  90/100 Rank1, 本科Top15 211,,15Fall,2014-12-15,美国
38,shanxq12345,Upenn,AD无奖,MS,CS,,,CS , WHU,  , 本科Top15 211,无牛推,15Fall,2014-10-28,美国
39,wayof,Upenn,AD无奖,MS,CS,104,162+169+4.5,电子信息科学 , NJU,  87/100, 本科：南大，浙大，复旦，上交,,15Fall,2014-11-14,美国
40,sabrinasong,CIS@Upenn,AD无奖,MS,CIS,113(S26),170+157+4.0,Software Engineering , NJU,"  4/198, 4.44/5.0", 本科：南大，浙大，复旦，上交,国际会议的学生科研竞赛获奖。无牛推。,15Fall,2014-11-13,美国
41,33300qq,Robotics@UPENN,AD无奖,MS,CS,111 (24),162+170+4.0,Control , ZJU,  TOP 8%, 本科：南大，浙大，复旦，上交,HKUST交换半年,15Fall,2014-12-05,美国
42,JoeWest,University of Pennsylvania,AD无奖,MS,CS,107(23),150+170+3.5,, nju,  91.4/100, 本科：南大，浙大，复旦，上交,SCI一作，美赛O奖，UCSD老师推荐,15Fall,2014-11-11,美国
43,当街小妞Chloe,,,,,,,, ,  ,,,,,
44,AIw0916,Robotics@U Penn,AD无奖,MS,EE,104 (s23),159+170+3.5,通信工程 , BUPT,"  90.8, major 92.46, top2%", 本科其他211,一篇IEEE Transaction三作在投，项目经历（单片机&通信）都比较low吧,15Fall,2014-11-15,美国
45,snow_sword,Upenn,AD无奖,MS,CS,102(s20),153+170+3,CS , SJTU,  87/100, 本科：南大，浙大，复旦，上交,一篇国际水会论文,15Fall,2014-11-10,美国
46,peanu,USF,AD小奖,MS,CS,108(23),540+800+3.0,生物科学 , ,  3.32, 本科：南大，浙大，复旦，上交,,15Fall,2014-12-14,美国
47,ElenaCHAO,MCIT@UPenn,AD无奖,MS,CS,104(23),324+3,, ,  3.88(WES), 本科Top15 211,,15Fall,2014-11-15,美国
48,hadoopG,CS@WPI,AD无奖,MS,CS,,,网络工程 , BUPT,  3.0, 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,2014-12-10,美国
49,筱瞳,UPenn,AD无奖,MS,CS,102(S23),157+167+3.5,信息管理 , ,  , 海本,奖学金若干，推荐信的老师都是牛人,15Fall,2014-12-14,美国
50,annierzhou,CGGT@Upenn,AD无奖,MS,CS,,149+169+3.5,EE , ,  3.80, 海本,和教授做了好多有关动画的project～,15Fall,2014-11-12,美国
51,jasonl815,CGGT@UPENN,AD无奖,MS,CS,102(23),330 + 3.5,CS , ,  3.60, 本科Top15 211,某知名游戏制作人，实验室教授牛推。然后就是3段实习经历，国家科研院所做了一段时间测试理论研究，某国内知名游戏工作室参加过网易某手游的研发，以及育碧上海游戏逻辑编程（不过最后这个没有来得及补充到材料里）,15Fall,2014-11-14,美国
