,GRE_AW,GRE,TF_S,TF,grad_gpa,grad_rank,username
947,,310,,95,2.3, 本科非211,smallmikko
595,3,310,19,92,2.45, 本科非211,liukailzb
2740,3,322,,100,2.64, 海本,lishiming9
3389,,316,,100,2.68, 本科非211,elyn
2861,3,316,20,80,2.8, 本科其他211,xavier90
637,,316,,93,2.85,,Maestro5563
324,,320,18,91,2.89, 本科非211,sunnyeee
1984,,,,,2.92, 本科非211,hochipun
348,3,324,23,100,2.93, 本科Top30 211,AbracadaBudda
3762,,316,,88,2.96, 本科：南大，浙大，复旦，上交,silentsea
615,,309,,85,3, 本科：南大，浙大，复旦，上交,zxc12379
2903,3,317,23,94,3, 本科Top30 211,massa16
154,,320,,94,3, 本科其他211,JunoJ
3964,,317,20,97,3, 本科：南大，浙大，复旦，上交,funnybomb
62,,,,100,3, 本科其他211,ryanli
219,3,317,20,101,3, 本科：北大，清华，科大，中科院，特色学校牛专业,多多多多多
29,,328,,103,3, 本科Top15 211,victorsterling
2072,3,324,,104,3, 本科非211,h707705427
364,,,,,3, 本科：北大，清华，科大，中科院，特色学校牛专业,hadoopG
4131,,310,,91,3.01, 本科非211,lrcray
2083,3,317,22,99,3.04, 本科Top15 211,tonycy0
143,,,,,3.08, 本科：北大，清华，科大，中科院，特色学校牛专业,amber0311
2948,3,315,,99,3.1, 本科Top30 211,liuxiaoyu1992
4046,,,,100,3.1, 本科其他211,renli3000
26,3,321,23,105,3.1, 本科其他211,奈何默默
2463,4,333,24,112,3.1, 本科Top30 211,vegito2002
3987,4,330,28,117,3.1, 海本,DarthPotter
421,3,,,,3.1, 本科其他211,collwe
3460,3.5,319,,95,3.11, 本科Top30 211,schenkerx
2897,3,328,,101,3.11, 本科Top30 211,Dangyi0811
2860,3,311,,91,3.14, 本科非211,sunson331
3306,3.5,318,20,91,3.15, 本科其他211,ChaceLei
1959,3,326,22,104,3.15, 本科：北大，清华，科大，中科院，特色学校牛专业,dokolo
1981,,,,,3.15, 本科Top15 211,pengpengwei
3668,,319,,94,3.16, 本科Top30 211,wangsiwei
527,3.5,323,19,100,3.16, 本科：南大，浙大，复旦，上交,billjyc
