,username,adschool,result,degree,major,TF,GRE,grad_major,grad_school,grad_gpa,grad_rank,background,year,ap_time,country
0,morningsu,Cornell,AD无奖,MS,MIS,105,326（159+167+3.5）,通信 , ,  ,,,15Fall,2015-01-25,美国
1,whoyo123,IS MPS@Cornell,AD无奖,MS,MIS,,,, ,  ,,,15Fall,2015-02-13,美国
2,yugioh_dark,Connective Media@Cornell-Tech,Rej,MS,MIS,,,, ,  , 本科：南大，浙大，复旦，上交,,15Fall,2015-01-31,美国
3,ivan93,"SIT,UFL,PITTS,WPI,FORDHAM,UA,NYU",AD无奖,MS,MIS,,,CS , 首都经贸大学,  3.6/4  3/50, 本科非211,,15Fall,2014-12-01,美国
4,misgo2015,UTD,AD无奖,MS,MIS,,,, ,  , 本科非211,,15Fall,2015-03-07,美国
5,几碗米饭,NEU,AD无奖,MS,MIS,,,, ,  , 本科Top15 211,,15Fall,2014-12-13,美国
6,gouber,NEU,AD无奖,MS,MIS,,,光电 , tju,  3.2, 本科Top15 211,,15Fall,2014-12-15,美国
7,haiweiosu,New York University,WaitingList,MS,MIS,,,, Ohio State U,  , 海本,,15Fall,2015-02-27,美国
8,王十七,NYU GSAS,WaitingList,MS,MIS,101,320,信息管理与信息系统 , ,  3.56, 本科其他211,,15Fall,2015-02-04,美国
9,anim20,雪城,AD无奖,MS,MIS,92(22),150+170+3,市场营销 , BUPT,  86.39, 本科Top15 211,,15Fall,2015-02-01,美国
10,lonely-melon,MSIS@NYU,AD无奖,MS,MIS,,,, ,  , 本科非211,,15Fall,2015-02-22,美国
11,allenliu,NYU,AD无奖,MS,MIS,101(s23),150+167+3,Yuanpei/IMIS , PKU,  3.3/4, 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,2015-01-20,美国
12,AndyLiu0429,NYU,AD无奖,MS,MIS,,,, ,  ,,,15Fall,2014-12-01,美国
13,剪时光,NYU,AD无奖,MS,MIS,99(23),155+167+3.5,Software Engineering , SYSU,  3.6/4, 本科Top15 211,,15Fall,2015-01-12,美国
14,satankissyou,New York University,AD无奖,MS,MIS,106,322,计算机 , 西电,  , 本科其他211,,15Fall,2014-12-15,美国
15,justinguo,MSIS@NYU,AD无奖,MS,MIS,112,320+4.0,EE , SCUT,  , 本科其他211,无。,15Fall,2015-02-06,美国
16,morningsu,RPI,AD无奖,MS,MIS,105(22),159+167+3.5,, ,  ,,,15Fall,2015-01-02,美国
17,mrlinkin99,UMN,Rej,PhD,MIS,,,mis , iub,  3.8, 海本,,15Fall,2014-12-31,美国
18,mrlinkin99,UMN,WaitingList,PhD,MIS,,,, ,  ,,,15Fall,2014-12-31,美国
19,haiweiosu,New York University,Offer,MS,MIS,,,, ,  ,,,15Fall,2015-02-27,美国
20,Lolaa,syr,AD无奖,MS,MIS,,,, ,  ,,,15Fall,2015-01-01,美国
21,whoyo123,MSIS@UNC,AD无奖,MS,MIS,,,, ,  ,,,15Fall,2015-02-10,美国
22,WFGN,nyu,AD无奖,MS,MIS,97,318,, ,  , 本科Top15 211,,15Fall,2014-12-26,美国
23,serinasun,MIS@CMU,Rej,MS,MIS,,,, ,  ,,,15Fall,2015-01-12,美国
24,Cleopatrahelen,CMU,AD无奖,MS,MIS,,V159，Q166,, LAC TOP 70,  3.73, 海本,写推荐信的一个教授是CMU毕业的，但他是英语系的= =,15Fall,2015-01-12,美国
25,aprilxiao,MISM 21 month@CMU,AD小奖,MS,MIS,,,, ,  , 本科Top30 211,,15Fall,2014-12-31,美国
26,奈何默默,cmu,AD小奖,MS,MIS,105（23）,321+3,cs , 上海大学,  学校算法3.1/4 20%, 本科其他211,,15Fall,二月份吧？,美国
27,xunyz,CMU,AD小奖,MS,MIS,101,321,, ,  , 本科Top30 211,,15Fall,2015-01-02,美国
28,古风,CMU,Rej,MS,MIS,,,, ,  , 本科其他211,,15Fall,2015-01-09,美国
29,victorsterling,CMU,Rej,MS,MIS,103,730,Physics , HIT,  3, 本科Top15 211,,15Fall,2014-10-15,美国
30,evelynlalalala,CMU MISM 16,Rej,MS,MIS,,,, ,  , 本科：南大，浙大，复旦，上交,,15Fall,2014-12-28,美国
31,chaozc,CMU,AD无奖,MS,MIS,,,, ,  , 本科：南大，浙大，复旦，上交,,15Fall,2015-01-12,美国
32,yao_moon,Upitt UTD IST@PSU ISOM@UFL MISM(21)@CMU MIM@UMD,AD无奖,MS,MIS,,,, ,  ,,,15Fall,2015-01-15,美国
33,Frankluo,MISM@CMU,AD小奖,MS,MIS,102,321+3,CS , ,  3.81, 本科Top15 211,SAP实习，无PAPER无牛腿,15Fall,2015-01-15,美国
34,oldjade,CMU,AD小奖,MS,MIS,101,151+164+4.0,MIS , PKU,  3.63, 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,2015-01-15,美国
