,username,adschool,result,degree,major,grad_major,grad_school,background,year,ap_time,country,GRE_AW,GRE,TF_S,TF,grad_gpa,grad_rank
1214,HeHePHD,UChicago,1,PhD,CS,, ,,15Fall,2015/1/6,美国,1.5,33,6,27,7.1,6
1768,surdcn,Stanford,1,MS,CS,"Politics, Philosophy and Economics(PPE 禁止嘲笑文科生) ", P大,,15Fall,2015/1/1,美国,1,35,4,23,7.1,6
87,allenliu,NYU,1,MS,MIS,Yuanpei/IMIS , PKU,,15Fall,2015/1/20,美国,1,17,5,16,3.725,6
93,allenliu,CMU,0,MS,MIS,Yuanpei/IMIS , PKU,,15Fall,2015/1/10,美国,1,17,5,16,3.725,6
1738,lhjbj,CMU-SV,1,MS,CS,, ,,15Fall,2014/12/15,美国,1.5,29,4,12,7.1,6
95,allenliu,ISOM@UFL,1,MS,MIS,YUANPEI , PKU,,15Fall,2014/12/30,美国,1,17,5,16,3.725,6
92,allenliu,NYU,1,MS,MIS,Yuanpei/IMIS , PKU,,15Fall,2015/1/20,美国,1,17,5,16,3.725,6
94,allenliu,Umich,0,MS,MIS,YuanPei/IMIS , PKU,,15Fall,2015/1/1,美国,1,17,5,16,3.725,6
885,slxu,UW Seattle,0,PhD,CS,, ,,15Fall,2014/12/1,美国,1,19,4,22,3.725,6
883,slxu,UCLA,1,混合,CS,CS , USTC,2篇conference，一篇journal，另有一篇journal在审。2个牛腿，都是中文大学的教授,15Fall,2014/11/30,美国,1,19,4,22,3.725,6
723,dmmzmm,Syracuse University,1,MS,MIS,经济 , Top2,,15Fall,2014/12/15,美国,1,22,4,16,3.725,6
1789,J-Miao,UMich,1,MS,CS,CS , PKU,,15Fall,2014/12/15,美国,2,28,4,16,7.1,6
1624,breezet,MCDS@CMU,1,MS,CS,EE , 清华大学,伯克利一封，腾讯工作一封，清华一封,15Fall,2014/12/1,美国,1,28,5,23,10.3,6
89,allenliu,Umich,0,MS,MIS,YuanPei/IMIS , PKU,,15Fall,2015/1/1,美国,1,17,5,16,3.725,6
722,dmmzmm,university of pittusburgh,1,MS,MIS,经济 , ,,15Fall,2014/12/15,美国,1,22,4,16,3.725,6
1043,lyzstc,CMU,1,MS,CS,, ,,15Fall,2014/12/15,美国,1.5,23,4,18,8.225,6
1970,goha111,UPenn,0,MS,CS,, ,,16Fall,2015/12/15,美国,1,25,4,15,10.4,6
1971,goha111,Columbia University,0,MS,CS,EE power , HIT Honor School,,16Fall,2016/1/21,美国,1,25,4,15,10.4,6
1972,goha111,UT-Austin,1,MS,CS,, HIT,,16Fall,2015/12/14,美国,1,25,4,15,10.4,6
90,allenliu,ISOM@UFL,1,MS,MIS,YUANPEI , PKU,,15Fall,2014/12/30,美国,1,17,5,16,3.725,6
91,allenliu,Brandeis,1,MS,CS,, ,,15Fall,2015/1/16,美国,1,17,5,16,3.725,6
88,allenliu,CMU,0,MS,MIS,Yuanpei/IMIS , PKU,,15Fall,2015/1/10,美国,1,17,5,16,3.725,6
2148,codingjam123,GWU,1,MS,CS,, ,,16Fall,2016/1/14,美国,1,10,4,10,7.1,6
720,dmmzmm,university of pittusburgh,1,MS,MIS,经济 , ,,15Fall,2014/12/15,美国,1,22,4,16,3.725,6
828,helloshch,CS@UCLA,1,MS,CS,Stat , USTC,,15Fall,2014/11/30,美国,1,25,4,21,10,6
3078,ryermit,NEU,0,MS,CS,Math , PKU,,16Fall,2016/1/7,美国,1.5,23,8,19,3.8375,6
1954,saeryn,UPenn,0,MS,CS,高分子材料与工程 , 清华,,16Fall,2016/3/13,美国,1,27,5,24,4,6
3196,zjlxwudan,CMU,0,MS,CS,, ,,16Fall,2015/12/15,美国,1,22,5,23,10,6
1464,syf921006,CMU-MCDS,0,MS,CS,自动化 , SJTU,三段ML/CV科研,15Fall,2014/12/15,美国,1,27,4,20,8.3,6
3198,zjlxwudan,CMU,0,MS,CS,EE , THU,,16Fall,2015/12/15,美国,1,22,5,23,10,6
3197,zjlxwudan,CMU,0,MS,CS,, ,,16Fall,2015/12/15,美国,1,22,5,23,10,6
